2.3359 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
2.3365 	INFO 	Loaded monitor calibration from ['2025_12_16 10:09']
2.4907 	INFO 	Using renderer 'NVIDIA GeForce RTX 5070 Ti/PCIe/SSE2' for graphics
2.4908 	INFO 	OpenGL version supported by driver is 4..
2.4989 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025A501B6FB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025A501B6F50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025A4F76CA90>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(560.0), np.float64(240.0)], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.4990 	EXP 	window1: backgroundImage = ''
2.4990 	EXP 	window1: backgroundFit = 'none'
2.5090 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5157 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5225 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5284 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5343 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5404 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5464 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5521 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5583 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5641 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5700 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5760 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5822 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5884 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.5944 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6004 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6063 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6123 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6182 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6239 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6241 	DEBUG 	Uploading Texture Font fontname to graphics card
2.6283 	DEBUG 	Upload of Texture Font fontname complete
2.6372 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6432 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6492 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.6493 	DEBUG 	Uploading Texture Font fontname to graphics card
2.6512 	DEBUG 	Upload of Texture Font fontname complete
2.6524 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
2.6524 	EXP 	window1: recordFrameIntervals = False
2.8132 	EXP 	window1: recordFrameIntervals = True
2.9969 	EXP 	Screen (0) actual frame rate measured at 59.88Hz
2.9969 	EXP 	window1: recordFrameIntervals = False
3.0050 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0109 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0168 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0230 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0290 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0352 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0413 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0473 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0536 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0595 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0657 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.0659 	DEBUG 	Uploading Texture Font fontname to graphics card
3.0662 	DEBUG 	Upload of Texture Font fontname complete
3.3176 	INFO 	keyboard.Keyboard is using ptb backend.
3.3176 	EXP 	DichoticListeningProbe: status = STARTED
3.4500 	INFO 	Loaded psychtoolbox audio version 3.0.19.696976569
3.4690 	WARNING 	No default speaker specified in Preferences / Hardware, using first speaker found: Speakers (Realtek(R) Audio)
3.4691 	DEBUG 	Found speaker device: Speakers (Realtek(R) Audio) (2.0)
3.5319 	INFO 	Created stream for speaker device: Speakers (Realtek(R) Audio) (2.0)
3.5327 	EXP 	: sampleRate = 48000
3.5328 	EXP 	: channels = None
3.5346 	EXP 	: sampleRate = 48000
4.0083 	WARNING 	No default speaker specified in Preferences / Hardware, using first speaker found: Speakers (Realtek(R) Audio)
4.0084 	DEBUG 	Found speaker device: Speakers (Realtek(R) Audio) (2.0)
4.0114 	INFO 	Created stream for speaker device: Speakers (Realtek(R) Audio) (2.0)
4.0123 	EXP 	: sampleRate = 48000
